Subgraph,Sentence
<S> <H> Mental health disorders <NEG> <T> Child getting help <H> Mental health disorders <NEG> <T> Help-seeking behaviors <H> Child getting help <POS> <T> Ability to express one self <H> Child getting help <POS> <T> Lack of perceived behavior change <H> Child getting help <POS> <T> Problems handling difficult emotions <H> Problems handling difficult emotions <NEG> <T> Therapy success <E>,"Increasing mental health disorders decreases health-seeking behaviors and the child getting help. This decrease to the child receiving help decreases their ability to express oneself, problems handling difficult emotions, and increases the perception of behavior change. This decrease problems handling difficult emotions increases therapy success."
<S> <H> Parent’s substance use <POS> <T> Arrest of parent <H> Arrest of parent <POS> <T> Parent’s incarceration <E>,Increasing parental substance use increases the arrest of the parent thereby increasing parental incarceration.
<S> <H> Hope of a positive outcome <NEG> <T> Traumatic experience of the ACE <H> Traumatic experience of the ACE <POS> <T> Cumulative trauma <E>,Increasing the hope for a positive outcome decreases the traumatic experience of the ACE decreases cumulative trauma.
<S> <H> Treatment of parental mental health issue <NEG> <T> Parental risk factors <H> Parental risk factors <POS> <T> ACEs <E>,Increasing treatment of parental mental health issue decreases parental risk factors thereby decreasing ACEs.
<S> <H> African-American <POS> <T> Involvement with the justice system <H> African-American <NEG> <T> Substance use treatment <H> Involvement with the justice system <POS> <T> ACEs <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <H> Involvement with the justice system <POS> <T> Sentence severity <E>,"Increasing the belongingness to an African-American identity increases involvement with the justice system, and decreases substance use treatment. This increase to involvement increases ACEs, sentence severity, and contact with other individuals in the justice system."
<S> <H> Frustrated stress response in parents <POS> <T> Child abuse or neglect <H> Child abuse or neglect <POS> <T> ACEs <E>,Increasing the frustrated stress response in parents increases child abuse or neglect thereby increasing ACEs.
<S> <H> Mental health problems <POS> <T> Child risk factors <H> Mental health problems <POS> <T> Treatment of mental health issues <H> Mental health problems <POS> <T> Substance use <H> Substance use <POS> <T> Suicide ideation <E>,"Increasing mental health problems increases childhood risk factors, treatment of mental health issues, and substance use. This increase to substance use increases suicide ideation."
<S> <H> Suicide attempt <POS> <T> Re-attempt <H> Suicide attempt <POS> <T> Therapy <E>,Increasing suicide attempt increases re-attempt and therapy.
<S> <H> Parent’s substance use <POS> <T> ACEs <H> ACEs <POS> <T> Brain development problems <H> ACEs <POS> <T> Impulsivity <H> Brain development problems <POS> <T> Developmental disorders and delays <H> Developmental disorders and delays <POS> <T> Cost of specialized childcare expenses and services <H> Developmental disorders and delays <POS> <T> Marital relationship stress <H> Developmental disorders and delays <POS> <T> Parental stress <E>,"Increasing parental substance use increase ACEs thereby increasing brain development problems, and impulsivity. This increase to brain development problems increases developmental disorders and delays thereby increasing the cost of specialized child care expenses and services, marital relationship stress and parental stress."
<S> <H> ACEs of parents <POS> <T> Parental risk factors <E>,Increasing the ACEs of parents increase parental risk factors.
<S> <H> Single parent household <NEG> <T> Exposure to violence <H> Exposure to violence <POS> <T> Normalization of violence <E>,More single parent households decreases exposure to violence thereby reducing the normalization of violence.
<S> <H> Suicide planning <POS> <T> Hospitalized <H> Hospitalized <POS> <T> ACEs <H> Hospitalized <POS> <T> Therapy success <E>,Increasing suicide planning increases the likelihood of being hospitalized thereby increasing ACEs and Therapy success.
<S> <H> ACEs <POS> <T> Depression <H> ACEs <POS> <T> Suicide ideation <E>,Increasing ACEs increases depression and suicide ideation.
<S> <H> Parents' mental illness <POS> <T> Household challenges <E>,Increasing parents' mental illness increases household challenges.
<S> <H> Child escalation of conflicts <POS> <T> Family stress <H> Child escalation of conflicts <POS> <T> Parental escalation of conflicts <E>,Increasing escalation of conflicts increases family stress and parental escalation of conflicts.
<S> <H> Peers you can talk to <POS> <T> Protective environment <E>,More peers to whom one can confide leads to a more protective environment.
<S> <H> (Unhealthy) coping strategies <POS> <T> Substance abuse <E>,Less healthy coping strategies increases substance abuse.
<S> <H> Feeling that your group is not valued <POS> <T> Burdensomness <E>,Increasing the feeling that your group is not valued increases burdensomeness.
<S> <H> Parental involvement <POS> <T> Externally sought medical help <E>,Increasing parental involvement increases externally sought medical help.
<S> <H> Parental paid leave <POS> <T> Economic support for families <H> Parental paid leave <NEG> <T> Parental stress <E>,Increasing parental paid leave increases economic support for families and decreases parental stress.
<S> <H> Structural racism <POS> <T> Devaluation of one's identity <H> Devaluation of one's identity <POS> <T> Invalidation <E>,Increasing structural racism increases the devaluation of one's identity thereby increasing invalidation.
<S> <H> Isolation <NEG> <T> Ability to safe life by treatment <H> Isolation <NEG> <T> Connectedness <H> Connectedness <POS> <T> Access to immediate effective clinical care <H> Connectedness <NEG> <T> Homelessness <E>,"Increasing isolation decreases ability to save life by treatment, connectedness. This decrease to connectedness decreases access to immediate effective clinical care and increases homelessness."
<S> <H> (Unhealthy) coping strategies <POS> <T> Self-harm <H> Self-harm <POS> <T> Increased willingness to apply pain to one self <H> Increased willingness to apply pain to one self <POS> <T> Capacity for suicide <H> Capacity for suicide <POS> <T> Suicide ideation <E>,Less healthy coping strategies increases self-harm thereby increasing the willingness to apply pain to oneself. This increase to willingness increases the capacity for suicide thereby increasing suicide ideation.
<S> <H> Health education <POS> <T> Access to services <H> Access to services <NEG> <T> Suicide ideation <E>,Increasing health education increases access to services thereby reducing suicide ideation.
<S> <H> Re-enactment of parental's ACEs <POS> <T> Invalidating family environment <E>,Increasing re-enactment of parental ACCEss increases invalidating family environment.
<S> <H> Rural <POS> <T> Low socio-economic status of the neighbourhood <H> Rural <POS> <T> Poverty <H> Rural <POS> <T> Substance abuse <H> Low socio-economic status of the neighbourhood <NEG> <T> Access to healthcare <H> Low socio-economic status of the neighbourhood <POS> <T> Identity is outside the socially accepted norm in the community <H> Low socio-economic status of the neighbourhood <POS> <T> Involvement in violence <H> Poverty <POS> <T> Risks in broader environment <H> Access to healthcare <NEG> <T> Neighbourhood risk factors <E>,"More rural areas lead to low socio-economic status of the neighbourhood, poverty, and substance abuse. This lower socio-economic status of the neighbourhood decreases access to healthcare thereby increasing neighbourhood risk factors. It also increases identity is outside the socially accepted norm in the community, and involvement in violence. The increase to poverty increases the risks in broader environment."
<S> <H> ACEs <POS> <T> Re-attempt <H> ACEs <POS> <T> Substance abuse <H> Substance abuse <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Therapy <E>,"Increasing ACEs increases re-attempts, and substance abuse. This increase to substance abuse increases suicide attempts thereby increasing therapy."
